CAMPO;DESCRIPCION
VR_MEDIO;Valor máximo de referencia
VR_MAX;Rango de variación aceptado
DESVIACION_STD;Desviación estándar
DISPERSION;Dispersión
CROQUIS_INCLUIDO_SN;Croquis incluido (Sí / No)
TIPO_CROQUIS;Tipo de croquis
ORIENTACION_NORTE_SN;Orientación (Norte indicado: Sí / No)
PAG_CROQUIS;Página del documento donde se encuentra el croquis
NUM_FOTO;Número de fotografía
TIPO_VISTA_FOTO;Tipo de vista de la foto
DESC_FOTO;Descripción de fotografía
